%vehicle;startx;starty;starttime;endx;endy;endtime;box;operation
Vehicle1;1010;100;40650;1020;100;40665;B364;PU
Vehicle1;1020;100;40665;1020;100;40670;B365;PU
Vehicle1;1020;100;40670;1020;100;40675;B365;PL
Vehicle1;1020;100;40675;10;100;41690;B364;PL
Vehicle1;10;100;41690;1040;100;42725;B374;PU
Vehicle1;1040;100;42725;1040;100;42730;B375;PU
Vehicle1;1040;100;42730;1020;100;42755;B374;PL
Vehicle1;1020;100;42755;1020;100;42760;B375;PL
Vehicle1;1020;100;42760;1040;100;42785;B373;PU
Vehicle1;1040;100;42785;0;100;43830;B373;PL
Vehicle1;0;100;43830;1050;100;44885;B378;PU
Vehicle1;1050;100;44885;1050;100;44890;B379;PU
Vehicle1;1050;100;44890;1040;100;44905;B378;PL
Vehicle1;1040;100;44905;1040;100;44910;B379;PL
Vehicle1;1040;100;44910;1050;100;44925;B376;PU
Vehicle1;1050;100;44925;1050;100;44930;B377;PU
Vehicle1;1050;100;44930;1050;100;44935;B377;PL
Vehicle1;1050;100;44935;0;100;45990;B376;PL
Vehicle1;0;100;45990;1090;100;47085;B394;PU
Vehicle1;1090;100;47085;1090;100;47090;B395;PU
Vehicle1;1090;100;47090;1090;100;47095;B395;PL
Vehicle1;1090;100;47095;0;100;48190;B394;PL
Vehicle1;0;100;48190;1090;100;49285;B393;PU
Vehicle1;1090;100;49285;1090;100;49290;B395;PU
Vehicle1;1090;100;49290;1090;100;49295;B395;PL
Vehicle1;1090;100;49295;10;100;50380;B393;PL
Vehicle1;10;100;50380;1090;100;51465;B392;PU
Vehicle1;1090;100;51465;1090;100;51470;B395;PU
Vehicle1;1090;100;51470;1090;100;51475;B395;PL
Vehicle1;1090;100;51475;0;100;52570;B392;PL
Vehicle1;0;100;52570;1100;100;53675;B398;PU
Vehicle1;1100;100;53675;1100;100;53680;B399;PU
Vehicle1;1100;100;53680;1050;100;53735;B398;PL
Vehicle1;1050;100;53735;1050;100;53740;B399;PL
Vehicle1;1050;100;53740;1100;100;53795;B397;PU
Vehicle1;1100;100;53795;10;100;54890;B397;PL
Vehicle1;10;100;54890;1100;100;55985;B396;PU
Vehicle1;1100;100;55985;10;100;57080;B396;PL
Vehicle1;10;100;57080;10;100;57085;B400;PU
Vehicle1;10;100;57085;0;100;57100;B401;PU
Vehicle1;0;100;57100;880;100;57985;B401;PL
Vehicle1;880;100;57985;980;100;58090;B400;PL
Vehicle0;10;100;70590;0;100;70605;B402;PU
Vehicle0;0;100;70605;10;100;70620;B403;PU
Vehicle0;10;100;70620;810;100;71425;B403;PL
Vehicle0;810;100;71425;290;100;71950;B402;PL
Vehicle1;980;100;58090;10;100;59065;B404;PU
Vehicle0;290;100;71950;10;100;72235;B405;PU
Vehicle1;10;100;59065;10;100;59070;B406;PU
Vehicle1;10;100;59070;1040;100;60105;B406;PL
Vehicle0;10;100;72235;120;100;72350;B405;PL
Vehicle1;1040;100;60105;940;100;60210;B404;PL
Vehicle1;940;100;60210;0;100;61155;B407;PU
Vehicle0;120;100;72350;10;100;72465;B408;PU
Vehicle0;10;100;72465;0;100;72480;B409;PU
Vehicle0;0;100;72480;330;100;72815;B409;PL
Vehicle0;330;100;72815;500;100;72990;B408;PL
Vehicle1;0;100;61155;910;100;62070;B407;PL
Vehicle1;910;100;62070;10;100;62975;B410;PU
Vehicle0;500;100;72990;0;100;73495;B411;PU
Vehicle1;10;100;62975;10;100;62980;B412;PU
Vehicle1;10;100;62980;990;100;63965;B412;PL
Vehicle0;0;100;73495;750;100;74250;B411;PL
Vehicle1;990;100;63965;880;100;64080;B410;PL
Vehicle0;750;100;74250;0;100;75005;B413;PU
Vehicle0;0;100;75005;10;100;75020;B414;PU
